Wavelength (μm),Transmission
9.118777e+0,1.000000e+0
9.232115e+0,1.000000e+0
9.346862e+0,1.000000e+0
9.463035e+0,1.000000e+0
9.580652e+0,1.000000e+0
9.699730e+0,1.000000e+0
9.820289e+0,1.000000e+0
9.942346e+0,1.000000e+0
1.006592e+1,1.000000e+0
1.019103e+1,1.000000e+0
1.031770e+1,1.000000e+0
1.044594e+1,1.000000e+0
1.057577e+1,1.000000e+0
1.070722e+1,1.000000e+0
1.084030e+1,1.000000e+0
1.097503e+1,1.000000e+0
1.111144e+1,1.000000e+0
1.124955e+1,1.000000e+0
1.138937e+1,1.000000e+0
1.153093e+1,1.000000e+0
1.167425e+1,1.000000e+0
1.181935e+1,1.000000e+0
1.196625e+1,1.000000e+0
1.211498e+1,1.000000e+0
1.226556e+1,1.000000e+0
1.241801e+1,1.000000e+0
1.257235e+1,1.000000e+0
1.272862e+1,1.000000e+0
1.288682e+1,1.000000e+0
1.304699e+1,1.000000e+0
1.320915e+1,1.000000e+0
1.337333e+1,1.000000e+0
1.353955e+1,1.000000e+0
1.370784e+1,1.000000e+0
1.387821e+1,1.000000e+0
1.405070e+1,1.000000e+0
1.422534e+1,1.000000e+0
1.440215e+1,1.000000e+0
1.458116e+1,1.000000e+0
1.476239e+1,1.000000e+0
1.494587e+1,1.000000e+0
1.513163e+1,1.000000e+0
1.531971e+1,1.000000e+0
1.551012e+1,1.000000e+0
1.570289e+1,1.000000e+0
1.589806e+1,1.000000e+0
1.609566e+1,1.000000e+0
1.629572e+1,1.000000e+0
1.649826e+1,1.000000e+0
1.670332e+1,1.000000e+0
1.691092e+1,1.000000e+0
1.712111e+1,1.000000e+0
1.733391e+1,1.000000e+0
1.754936e+1,1.000000e+0
1.776748e+1,1.000000e+0
1.798831e+1,1.000000e+0
1.821189e+1,1.000000e+0
1.843825e+1,1.000000e+0
1.866742e+1,1.000000e+0
1.889944e+1,1.000000e+0
1.913434e+1,1.000000e+0
1.937216e+1,1.000000e+0
1.961294e+1,1.000000e+0
1.985671e+1,1.000000e+0
2.010351e+1,1.000000e+0
2.035338e+1,1.000000e+0
2.060635e+1,1.000000e+0
2.086247e+1,1.000000e+0
2.112177e+1,1.000000e+0
2.138430e+1,1.000000e+0
2.165009e+1,1.000000e+0
2.191918e+1,1.000000e+0
2.219161e+1,1.000000e+0
2.246743e+1,1.000000e+0
2.274668e+1,1.000000e+0
2.302940e+1,1.000000e+0
2.331564e+1,1.000000e+0
2.360543e+1,1.000000e+0
2.389882e+1,1.000000e+0
2.419587e+1,1.000000e+0
2.449660e+1,1.000000e+0
2.480107e+1,1.000000e+0
2.510932e+1,1.000000e+0
2.542141e+1,1.000000e+0
2.573737e+1,1.000000e+0
2.605727e+1,1.000000e+0
2.638113e+1,1.000000e+0
2.670903e+1,1.000000e+0
2.704100e+1,1.000000e+0
2.737709e+1,1.000000e+0
2.771736e+1,1.000000e+0
2.806187e+1,1.000000e+0
2.841065e+1,1.000000e+0
2.876377e+1,1.000000e+0
2.912128e+1,1.000000e+0
2.948323e+1,1.000000e+0
2.984968e+1,1.000000e+0
3.022068e+1,1.000000e+0
3.059630e+1,1.000000e+0
3.097658e+1,1.000000e+0
3.136159e+1,1.000000e+0
3.175139e+1,1.000000e+0
3.214603e+1,1.000000e+0
3.254557e+1,1.000000e+0
3.295008e+1,1.000000e+0
3.335962e+1,1.000000e+0
3.377425e+1,1.000000e+0
3.419404e+1,1.000000e+0
3.461904e+1,1.000000e+0
3.504932e+1,1.000000e+0
3.548495e+1,1.000000e+0
3.592600e+1,1.000000e+0
3.637253e+1,1.000000e+0
3.682460e+1,1.000000e+0
3.728230e+1,1.000000e+0
3.774568e+1,1.000000e+0
3.821483e+1,1.000000e+0
3.868980e+1,1.000000e+0
3.917068e+1,1.000000e+0
3.965754e+1,1.000000e+0
4.015045e+1,1.000000e+0
4.064948e+1,1.000000e+0
4.115472e+1,1.000000e+0
4.166623e+1,1.000000e+0
4.218410e+1,1.000000e+0
4.270841e+1,1.000000e+0
4.323924e+1,1.000000e+0
4.377667e+1,1.000000e+0
4.432077e+1,1.000000e+0
4.487164e+1,1.000000e+0
4.542935e+1,1.000000e+0
4.599400e+1,1.000000e+0
4.656566e+1,1.000000e+0
4.714443e+1,1.000000e+0
4.773039e+1,1.000000e+0
4.832363e+1,1.000000e+0
4.892425e+1,1.000000e+0
4.953234e+1,1.000000e+0
5.014798e+1,1.000000e+0
5.077127e+1,1.000000e+0
5.140231e+1,1.000000e+0
5.204120e+1,1.000000e+0
5.268802e+1,1.000000e+0
5.334289e+1,1.000000e+0
5.400589e+1,1.000000e+0
5.467713e+1,1.000000e+0
5.535672e+1,1.000000e+0
5.604475e+1,1.000000e+0
5.674134e+1,1.000000e+0
5.744658e+1,1.000000e+0
5.816059e+1,1.000000e+0
5.888348e+1,1.000000e+0
5.961534e+1,1.000000e+0
6.035631e+1,1.000000e+0
6.110648e+1,1.000000e+0
6.186598e+1,1.000000e+0
6.263492e+1,1.000000e+0
6.341341e+1,1.000000e+0
6.420158e+1,1.000000e+0
6.499955e+1,1.000000e+0
6.580744e+1,9.999986e-1
6.662536e+1,1.000000e+0
6.745345e+1,1.000000e+0
6.829184e+1,1.000000e+0
6.914064e+1,1.000000e+0
7.000000e+1,1.000000e+0
